Year,units,data.Mode_of_transportation,Value
2011,data.Domestic_Passenger,data.Rail,1118621.0
2012,data.Domestic_Passenger,data.Rail,1149340.0
2013,data.Domestic_Passenger,data.Rail,1224820.0
2014,data.Domestic_Passenger,data.Rail,1263472.0
2015,data.Domestic_Passenger,data.Rail,1269417.0
2016,data.Domestic_Passenger,data.Rail,1449534.0
2017,data.Domestic_Passenger,data.Rail,1490257.0
2011,data.Domestic_Passenger,data.Subway,2358758.0
2012,data.Domestic_Passenger,data.Subway,2410931.0
2013,data.Domestic_Passenger,data.Subway,2476394.0
2014,data.Domestic_Passenger,data.Subway,2526167.0
2015,data.Domestic_Passenger,data.Subway,2522900.0
2016,data.Domestic_Passenger,data.Subway,3572127.0
2017,data.Domestic_Passenger,data.Subway,3604710.0
2011,data.Domestic_Passenger,data.Sky_roads,25943079.0
2012,data.Domestic_Passenger,data.Sky_roads,25982998.0
2013,data.Domestic_Passenger,data.Sky_roads,26327678.0
2014,data.Domestic_Passenger,data.Sky_roads,26678513.0
2015,data.Domestic_Passenger,data.Sky_roads,27193794.0
2016,data.Domestic_Passenger,data.Sky_roads,28090714.0
2017,data.Domestic_Passenger,data.Sky_roads,5968577.0
2011,data.Domestic_Passenger,data.Shipping,14266.0
2012,data.Domestic_Passenger,data.Shipping,14538.0
2013,data.Domestic_Passenger,data.Shipping,16063.0
2014,data.Domestic_Passenger,data.Shipping,14271.0
2015,data.Domestic_Passenger,data.Shipping,15381.0
2016,data.Domestic_Passenger,data.Shipping,15423.0
2017,data.Domestic_Passenger,data.Shipping,0.0
2011,data.Domestic_Passenger,data.Air_transport,20981.0
2012,data.Domestic_Passenger,data.Air_transport,21602.0
2013,data.Domestic_Passenger,data.Air_transport,22353.0
2014,data.Domestic_Passenger,data.Air_transport,24648.0
2015,data.Domestic_Passenger,data.Air_transport,27980.0
2016,data.Domestic_Passenger,data.Air_transport,30913.0
2017,data.Domestic_Passenger,data.Air_transport,32406.0
2011,data.International_Passenger,data.Shipping,2660.0
2012,data.International_Passenger,data.Shipping,2881.0
2013,data.International_Passenger,data.Shipping,2737.0
2014,data.International_Passenger,data.Shipping,2646.0
2015,data.International_Passenger,data.Shipping,2617.0
2016,data.International_Passenger,data.Shipping,2777.0
2017,data.International_Passenger,data.Shipping,2728.0
2011,data.International_Passenger,data.Air_transport,42649.0
2012,data.International_Passenger,data.Air_transport,47703.0
2013,data.International_Passenger,data.Air_transport,50987.0
2014,data.International_Passenger,data.Air_transport,56779.0
2015,data.International_Passenger,data.Air_transport,61434.0
2016,data.International_Passenger,data.Air_transport,73001.0
2017,data.International_Passenger,data.Air_transport,76956.0
2011,data.Domestic_Freight,data.Rail,40012.0
2012,data.Domestic_Freight,data.Rail,40309.0
2013,data.Domestic_Freight,data.Rail,39822.0
2014,data.Domestic_Freight,data.Rail,37379.0
2015,data.Domestic_Freight,data.Rail,37094.0
2016,data.Domestic_Freight,data.Rail,32555.0
2017,data.Domestic_Freight,data.Rail,31670.0
2011,data.Domestic_Freight,data.Sky_roads,1439625.0
2012,data.Domestic_Freight,data.Sky_roads,1554510.0
2013,data.Domestic_Freight,data.Sky_roads,1546407.0
2014,data.Domestic_Freight,data.Sky_roads,1512700.0
2015,data.Domestic_Freight,data.Sky_roads,1761291.0
2016,data.Domestic_Freight,data.Sky_roads,1799565.0
2017,data.Domestic_Freight,data.Sky_roads,
2011,data.Domestic_Freight,data.Shipping,125588.0
2012,data.Domestic_Freight,data.Shipping,119057.0
2013,data.Domestic_Freight,data.Shipping,117860.0
2014,data.Domestic_Freight,data.Shipping,117920.0
2015,data.Domestic_Freight,data.Shipping,128611.0
2016,data.Domestic_Freight,data.Shipping,143227.0
2017,data.Domestic_Freight,data.Shipping,142587.0
2011,data.Domestic_Freight,data.Air_transport,281.0
2012,data.Domestic_Freight,data.Air_transport,265.0
2013,data.Domestic_Freight,data.Air_transport,253.0
2014,data.Domestic_Freight,data.Air_transport,283.0
2015,data.Domestic_Freight,data.Air_transport,288.0
2016,data.Domestic_Freight,data.Air_transport,293.0
2017,data.Domestic_Freight,data.Air_transport,290.0
2011,data.International_Freight,data.Shipping,1069566.0
2012,data.International_Freight,data.Shipping,1108538.0
2013,data.International_Freight,data.Shipping,1123205.0
2014,data.International_Freight,data.Shipping,1184641.0
2015,data.International_Freight,data.Shipping,1216782.0
2016,data.International_Freight,data.Shipping,1242597.0
2017,data.International_Freight,data.Shipping,1312489.0
2011,data.International_Freight,data.Air_transport,3238.0
2012,data.International_Freight,data.Air_transport,3209.0
2013,data.International_Freight,data.Air_transport,3246.0
2014,data.International_Freight,data.Air_transport,3411.0
2015,data.International_Freight,data.Air_transport,3519.0
2016,data.International_Freight,data.Air_transport,3781.0
2017,data.International_Freight,data.Air_transport,4032.0
